City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
431,Adrar,MR,82.63,clear sky,20.5022,-10.0711,
434,Maragogi,BR,79.86,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
436,Waingapu,ID,76.17,few clouds,-9.6567,120.2641,Pondok Wisata Elim
438,Beroroha,MG,75.97,scattered clouds,-21.6667,45.1667,
443,Maceio,BR,83.64,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
446,Puerto Escondido,MX,87.17,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
447,Alappuzha,IN,80.37,clear sky,9.49,76.3264,Panoramic Sea Resort
448,Bodden Town,KY,86.0,few clouds,19.2833,-81.25,Will T Place
449,Saint George,US,75.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
451,Malakal,SS,89.89,overcast clouds,9.5334,31.6605,Nile Palace Hotel
453,Kihei,US,77.97,few clouds,20.785,-156.4656,Maui Sunset
458,Ocos,GT,85.75,clear sky,14.5094,-92.1933,Auto Hotel El Soñador
459,Ilhabela,BR,77.23,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
460,Pascagoula,US,82.42,clear sky,30.3658,-88.5561,Regency Inn
461,San Vicente,AR,76.77,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
462,Lahij,YE,79.21,clear sky,13.1667,44.5833,
463,Hambantota,LK,78.1,few clouds,6.1241,81.1185,Bungalow 63
470,Doha,QA,76.98,clear sky,25.2867,51.5333,Movenpick Hotel Doha
472,Limbdi,IN,85.59,clear sky,22.5667,71.8,LIMBDI YOGI HOTEL
473,Eyl,SO,78.6,clear sky,7.9803,49.8164,Amiin Hotel
478,Balkanabat,TM,75.47,clear sky,39.5108,54.3671,Nebitchi Hotel
479,Salinas,US,75.99,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
483,Bambanglipuro,ID,76.06,overcast clouds,-7.95,110.2833,Puri Brata
