City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
244,Morant Bay,JM,17.8815,-76.4093,87.71,67,4,11.45,clear sky
245,Talnakh,RU,69.4865,88.3972,-0.22,98,86,5.95,overcast clouds
246,Baherden,TM,38.4362,57.4316,78.35,18,0,6.06,clear sky
247,Ilheus,BR,-14.7889,-39.0494,85.82,70,20,13.8,few clouds
248,Nchelenge,ZM,-9.3451,28.734,71.15,85,100,3.36,overcast clouds
249,Xinxiang,CN,35.3089,113.8672,49.26,75,100,2.93,overcast clouds
250,Ekhabi,RU,53.5102,142.9671,31.41,84,96,10.25,overcast clouds
251,Nikolskoye,RU,59.7035,30.7861,29.71,96,35,2.95,scattered clouds
252,Jalingo,NG,8.8833,11.3667,87.93,26,100,1.52,overcast clouds
253,Axim,GH,4.8699,-2.2405,81.97,86,100,10.85,overcast clouds
254,Bad Liebenwerda,DE,51.5167,13.4,38.88,70,96,12.66,overcast clouds
255,Nkayi,CG,-4.1841,13.2884,76.41,87,51,0.81,broken clouds
256,Shalinskoye,RU,55.7228,93.7594,21.56,98,100,1.59,overcast clouds
257,Bucerias,MX,20.75,-105.3333,82.15,53,5,9.33,clear sky
258,Russell,US,32.3502,-85.1999,75.06,35,0,12.66,clear sky
259,Halifax,CA,44.6453,-63.5724,51.69,55,100,13.8,overcast clouds
260,Tsabong,BW,-26.0217,22.401,71.2,60,22,17.18,few clouds
261,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,82,14,11.12,few clouds
262,Vuktyl,RU,63.8567,57.3094,23.72,90,100,14.92,snow
263,Batemans Bay,AU,-35.7167,150.1833,63.1,62,100,6.31,light rain
264,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,23.59,58,0,13.42,clear sky
265,Hokitika,NZ,-42.7167,170.9667,54.84,77,2,3.89,clear sky
266,Caravelas,BR,-17.7125,-39.2481,80.02,68,0,6.64,clear sky
267,Oussouye,SN,12.485,-16.5469,77.18,70,100,14.47,overcast clouds
268,Antofagasta,CL,-23.65,-70.4,65.48,68,11,9.17,few clouds
269,Fare,PF,-16.7,-151.0167,81.75,75,57,11.07,broken clouds
270,Lata,PT,40.1629,-8.3327,54.81,46,1,4.81,clear sky
271,Jumla,NP,29.2747,82.1838,46.09,49,28,4.36,scattered clouds
272,Chase,CA,50.8165,-119.6857,56.32,54,83,6.17,broken clouds
273,Kununurra,AU,-15.7667,128.7333,67.98,88,29,0.0,scattered clouds
274,Mandera,KE,3.9366,41.867,92.57,23,28,12.97,scattered clouds
275,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,70.97,70,100,10.8,moderate rain
276,Vanimo,PG,-2.6741,141.3028,77.31,87,100,2.48,overcast clouds
277,Iquitos,PE,-3.7481,-73.2472,78.84,73,75,1.14,broken clouds
278,Rorvik,NO,64.8621,11.2373,26.71,80,40,1.14,scattered clouds
279,Pangnirtung,CA,66.1451,-65.7125,23.0,86,100,3.44,overcast clouds
280,Muravlenko,RU,63.7898,74.523,17.29,89,100,16.71,overcast clouds
281,Smolenskoye,RU,52.3044,85.0781,30.09,94,77,3.83,broken clouds
282,Ondjiva,AO,-17.0667,15.7333,67.39,88,96,6.55,light rain
283,Bonavista,CA,48.6499,-53.1147,36.57,85,100,13.51,overcast clouds
284,Talara,PE,-4.5772,-81.2719,86.76,48,0,16.11,clear sky
285,Valle De Allende,MX,26.9333,-105.4,83.01,5,6,3.29,clear sky
286,Saldanha,ZA,-33.0117,17.9442,59.05,80,0,3.85,clear sky
287,Moshupa,BW,-24.7782,25.4155,62.53,89,100,5.35,moderate rain
288,Holeby,DK,54.7115,11.4642,41.09,84,67,20.98,light rain
289,Palmer,US,42.1584,-72.3287,50.47,63,100,11.5,overcast clouds
290,Tiznit,MA,29.5833,-9.5,58.93,59,50,4.0,scattered clouds
291,La Rioja,ES,42.25,-2.5,31.78,91,15,3.96,few clouds
292,Darapidap,PH,17.2131,120.4114,83.01,76,100,5.88,overcast clouds
293,Qaqortoq,GL,60.7167,-46.0333,41.94,74,100,2.24,overcast clouds
294,Pocatello,US,42.8713,-112.4455,56.01,25,0,6.91,clear sky
295,Vallenar,CL,-28.5708,-70.7581,82.26,23,0,8.86,clear sky
296,Tucuma,BR,-0.1833,-50.05,80.08,86,89,6.78,light rain
297,Sola,VU,-13.8833,167.55,79.29,72,100,9.6,overcast clouds
298,Bengkulu,ID,-3.8004,102.2655,76.93,82,100,4.61,overcast clouds
299,Drayton Valley,CA,53.2168,-114.9854,49.12,36,66,8.34,broken clouds
300,Saurimo,AO,-9.6608,20.3916,66.06,96,100,3.76,overcast clouds
301,Ketchikan,US,55.3422,-131.6461,44.58,75,100,17.27,light rain
302,Lompoc,US,34.6391,-120.4579,68.68,78,100,5.99,overcast clouds
303,Berbera,SO,10.4396,45.0143,84.13,59,5,2.44,clear sky
304,Katsuura,JP,35.1333,140.3,48.22,87,100,18.01,moderate rain
305,Tucupita,VE,9.0622,-62.051,83.7,57,97,7.34,overcast clouds
306,Hauterive,FR,46.0901,3.4459,38.16,94,87,2.95,overcast clouds
307,Qostanay,KZ,53.1667,63.5833,39.74,84,100,13.18,overcast clouds
308,Haines Junction,CA,60.7522,-137.5108,33.75,64,100,0.0,overcast clouds
309,Touros,BR,-5.1989,-35.4608,79.02,85,99,11.7,overcast clouds
310,Gazojak,TM,41.1875,61.4036,67.93,19,0,11.97,clear sky
311,Norman Wells,CA,65.282,-126.8329,-3.96,54,75,4.61,broken clouds
312,Batagay-Alyta,RU,67.8006,130.4114,-3.5,100,97,3.29,overcast clouds
313,Raudeberg,NO,61.9875,5.1352,34.47,92,100,4.72,light snow
314,Olafsvik,IS,64.8945,-23.7142,36.0,93,100,17.45,overcast clouds
315,Broken Hill,AU,-31.95,141.4333,49.71,76,0,0.0,clear sky
316,Yarada,IN,17.65,83.2667,82.72,83,20,8.05,mist
317,Ati,TD,13.2154,18.3353,90.86,8,100,9.17,overcast clouds
318,Port Macquarie,AU,-31.4333,152.9167,61.9,87,100,9.84,overcast clouds
319,Ostersund,SE,63.1792,14.6357,27.61,80,0,8.05,clear sky
320,Zyryanka,RU,65.75,150.85,-21.71,100,67,1.86,broken clouds
321,Kijang,KR,35.2442,129.2139,44.33,64,0,4.03,clear sky
322,Fairbanks,US,64.8378,-147.7164,23.02,63,40,3.44,scattered clouds
323,Saint Johnsbury,US,44.4192,-72.0151,49.05,43,0,3.44,clear sky
324,Ola,RU,59.5833,151.2833,4.6,94,37,5.3,scattered clouds
325,Dingle,PH,10.9995,122.6711,75.43,86,100,6.98,overcast clouds
326,Kavaratti,IN,10.5669,72.642,82.31,72,71,7.0,broken clouds
327,Eenhana,NA,-17.4667,16.3333,67.48,88,100,6.82,light rain
328,Port-Gentil,GA,-0.7193,8.7815,81.12,80,30,7.4,scattered clouds
329,La Asuncion,VE,11.0333,-63.8628,85.73,58,3,23.02,clear sky
330,Tarrega,ES,41.647,1.1396,41.49,88,26,8.32,scattered clouds
331,Buala,SB,-8.145,159.5921,78.28,83,100,4.5,overcast clouds
332,Meulaboh,ID,4.1363,96.1285,74.25,84,100,3.09,overcast clouds
333,Meadow Lake,US,34.8014,-106.5436,73.83,16,69,12.95,broken clouds
334,Moscow,RU,55.7522,37.6156,32.18,93,100,4.85,overcast clouds
335,Marsa Matruh,EG,31.3525,27.2453,62.8,72,0,8.05,clear sky
336,Great Bend,US,38.3645,-98.7648,66.85,50,75,17.27,broken clouds
337,Bose,IT,45.4612,8.0137,44.19,83,45,3.22,scattered clouds
338,Carutapera,BR,-1.195,-46.02,79.02,88,100,6.93,heavy intensity rain
339,Seydi,TM,39.4816,62.9137,69.69,22,0,11.3,clear sky
340,Rocha,UY,-34.4833,-54.3333,71.31,66,96,9.37,overcast clouds
341,Fortuna,US,40.5982,-124.1573,57.92,69,20,10.36,few clouds
342,Tiarei,PF,-17.5333,-149.3333,84.22,76,32,12.71,light rain
343,Newport,GB,51.5877,-2.9984,46.26,70,100,11.63,overcast clouds
344,Oranjestad,AW,12.524,-70.027,84.15,70,75,21.85,broken clouds
345,Gamba,GA,-2.65,10.0,77.54,94,100,3.89,overcast clouds
