City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
177,Cairns,-16.9167,145.7667,75.15,94,84,0.0,AU,2022-04-02 15:40:32
178,Ust-Maya,60.4167,134.5333,17.19,92,94,6.33,RU,2022-04-02 15:40:33
179,Neosho,36.869,-94.368,56.41,84,87,11.12,US,2022-04-02 15:38:36
180,Belmonte,-15.8631,-38.8828,83.3,63,36,4.94,BR,2022-04-02 15:40:33
181,Chardara,41.2547,67.9692,62.31,43,8,8.93,KZ,2022-04-02 15:40:34
182,Shevchenkove,49.6959,37.1735,58.75,59,25,22.66,UA,2022-04-02 15:40:34
183,Diego De Almagro,-26.3667,-70.05,75.81,19,0,7.23,CL,2022-04-02 15:40:34
184,Gobabis,-22.45,18.9667,76.78,50,72,14.7,NA,2022-04-02 15:40:35
185,Bethel,41.3712,-73.414,47.16,53,20,11.5,US,2022-04-02 15:40:35
186,Lorengau,-2.0226,147.2712,78.26,83,100,4.85,PG,2022-04-02 15:40:35
187,Gamba,-2.65,10.0,76.77,82,100,4.59,GA,2022-04-02 15:34:32
188,Houma,29.5958,-90.7195,64.99,88,100,11.5,US,2022-04-02 15:40:00
189,Ajaccio,42.0,8.9167,44.65,66,75,14.97,FR,2022-04-02 15:40:36
190,Ozinki,51.1786,49.6769,52.27,66,88,13.73,RU,2022-04-02 15:40:37
191,Dalmatovo,56.26,62.9362,32.02,98,100,7.54,RU,2022-04-02 15:40:37
192,Do Gonbadan,30.3586,50.7981,80.69,16,0,6.91,IR,2022-04-02 15:40:37
193,Deputatskiy,69.3,139.9,-20.06,100,95,2.89,RU,2022-04-02 15:40:38
194,Hobart,-42.8794,147.3294,55.26,84,100,5.75,AU,2022-04-02 15:40:38
195,Qaqortoq,60.7167,-46.0333,38.05,89,100,5.97,GL,2022-04-02 15:40:38
196,Chiriqui Grande,8.95,-82.1167,81.54,74,85,2.55,PA,2022-04-02 15:40:39
197,Sao Filipe,14.8961,-24.4956,72.34,77,72,10.78,CV,2022-04-02 15:40:39
198,Morant Bay,17.8815,-76.4093,84.7,73,17,12.35,JM,2022-04-02 15:40:40
199,Camopi,3.1655,-52.3158,80.11,91,63,4.05,GF,2022-04-02 15:40:40
200,Parga,39.2831,20.3964,54.52,79,33,11.21,GR,2022-04-02 15:40:40
201,Guiyang,26.5833,106.7167,45.09,87,0,2.24,CN,2022-04-02 15:40:41
202,Voloshka,61.3314,40.0858,20.8,93,89,2.95,RU,2022-04-02 15:40:41
203,Caucasia,7.9865,-75.1935,87.58,63,48,2.82,CO,2022-04-02 15:40:41
204,Seoul,37.5683,126.9778,40.44,74,0,2.3,KR,2022-04-02 15:28:02
205,Esfarayen,37.0765,57.5101,67.66,24,8,0.74,IR,2022-04-02 15:40:42
206,Auki,-8.7676,160.7034,76.41,87,97,3.98,SB,2022-04-02 15:40:42
207,Saint George,37.1041,-113.5841,54.19,40,0,0.0,US,2022-04-02 15:34:31
208,El Penon,8.9892,-73.9486,93.42,49,10,2.24,CO,2022-04-02 15:40:43
209,Walvis Bay,-22.9575,14.5053,67.15,63,0,8.05,NA,2022-04-02 15:40:43
210,Olafsvik,64.8945,-23.7142,40.73,95,100,18.28,IS,2022-04-02 15:40:43
211,Jieshi,22.8134,115.8257,58.95,87,100,10.58,CN,2022-04-02 15:30:46
212,Soyo,-6.1349,12.3689,78.64,88,100,9.71,AO,2022-04-02 15:40:44
213,Kiruna,67.8557,20.2251,25.72,74,40,12.66,SE,2022-04-02 15:40:44
214,High Level,58.5169,-117.136,1.51,85,100,12.66,CA,2022-04-02 15:40:45
215,Vao,-22.6667,167.4833,79.02,89,100,20.33,NC,2022-04-02 15:35:22
216,Aykhal,66.0,111.5,10.67,95,100,12.06,RU,2022-04-02 15:40:45
217,Cosala,24.4125,-106.6908,79.86,27,11,2.77,MX,2022-04-02 15:40:46
218,Alofi,-19.0595,-169.9187,73.29,94,93,1.14,NU,2022-04-02 15:40:46
219,Chapais,49.7834,-74.8492,22.78,78,99,9.62,CA,2022-04-02 15:30:52
220,Pevek,69.7008,170.3133,-8.63,97,100,2.01,RU,2022-04-02 15:40:47
221,Mount Gambier,-37.8333,140.7667,53.51,94,68,10.36,AU,2022-04-02 15:40:47
222,Grand-Santi,4.25,-54.3833,80.62,89,88,3.09,GF,2022-04-02 15:40:47
223,Staunton,38.1496,-79.0717,48.52,44,0,4.61,US,2022-04-02 15:35:55
224,Talnakh,69.4865,88.3972,9.21,97,100,3.94,RU,2022-04-02 15:35:19
225,West Bay,19.3667,-81.4167,86.07,73,75,11.5,KY,2022-04-02 15:41:48
226,Eregli,37.5133,34.0467,64.62,35,83,11.05,TR,2022-04-02 15:41:48
227,Ostrovnoy,68.0531,39.5131,20.84,86,100,12.73,RU,2022-04-02 15:41:49
228,Punta Cardon,11.6581,-70.215,82.72,68,26,25.12,VE,2022-04-02 15:41:49
229,Sibu,2.3,111.8167,73.71,94,40,5.01,MY,2022-04-02 15:41:49
230,Guatire,10.4762,-66.5427,87.69,50,20,6.73,VE,2022-04-02 15:41:50
231,Terrace,54.5163,-128.6035,35.51,100,75,4.61,CA,2022-04-02 15:41:50
232,Ballina,-28.8667,153.5667,69.76,93,73,6.91,AU,2022-04-02 15:41:51
233,Sahuaripa,29.05,-109.2333,73.0,17,0,1.25,MX,2022-04-02 15:41:51
234,Santa Maria Del Oro,25.9333,-105.3667,69.1,11,2,2.8,MX,2022-04-02 15:41:52
235,Luoyang,34.6836,112.4536,49.84,39,0,3.78,CN,2022-04-02 15:41:52
236,Lebu,-37.6167,-73.65,60.01,86,97,6.15,CL,2022-04-02 15:35:24
237,Carai,-17.1889,-41.6947,83.97,38,7,7.02,BR,2022-04-02 15:41:53
238,Oyo,7.85,3.9333,93.02,38,97,6.17,NG,2022-04-02 15:41:53
239,Gornopravdinsk,60.05,69.9,14.61,99,59,0.31,RU,2022-04-02 15:41:53
240,North Bend,43.4065,-124.2243,43.92,100,100,6.91,US,2022-04-02 15:41:54
241,Salalah,17.0151,54.0924,82.49,74,0,4.61,OM,2022-04-02 15:41:54
242,Egersund,58.4513,5.9997,42.08,70,26,19.13,NO,2022-04-02 15:41:54
243,Marquette,46.5333,-87.6335,37.67,83,100,6.71,US,2022-04-02 15:41:55
244,Cockburn Town,21.4612,-71.1419,77.99,72,0,17.38,TC,2022-04-02 15:41:03
245,Cayenne,4.9333,-52.3333,79.09,1,75,9.22,GF,2022-04-02 15:41:55
246,Gazojak,41.1875,61.4036,69.37,19,36,9.86,TM,2022-04-02 15:41:56
247,Shimanovsk,52.0,127.7,30.31,90,62,5.97,RU,2022-04-02 15:41:56
248,Naliya,23.2667,68.8333,79.77,65,0,7.61,IN,2022-04-02 15:41:56
249,Chuy,-33.6971,-53.4616,67.53,60,50,6.31,UY,2022-04-02 15:41:57
250,Hasaki,35.7333,140.8333,46.8,55,100,8.32,JP,2022-04-02 15:41:57
251,San Patricio,28.017,-97.5169,75.29,74,100,8.9,US,2022-04-02 15:41:58
252,The Valley,18.217,-63.0578,79.83,94,40,17.27,AI,2022-04-02 15:41:58
253,Port Elizabeth,-33.918,25.5701,66.49,73,20,3.0,ZA,2022-04-02 15:35:18
254,Morehead,37.2711,-87.1764,49.98,74,100,3.0,US,2022-04-02 15:39:37
255,Novo Selo,41.4139,22.8811,53.62,68,66,5.48,MK,2022-04-02 15:41:59
256,Luena,-11.7833,19.9167,70.79,85,90,3.78,AO,2022-04-02 15:35:07
257,Touros,-5.1989,-35.4608,85.6,66,100,13.42,BR,2022-04-02 15:41:59
258,Banda Aceh,5.5577,95.3222,80.82,79,100,4.68,ID,2022-04-02 15:41:59
259,Belousovka,50.1339,82.5239,32.85,75,75,0.0,KZ,2022-04-02 15:42:00
260,Lavrentiya,65.5833,-171.0,0.45,74,1,10.83,RU,2022-04-02 15:42:00
261,Port Hedland,-20.3167,118.5667,82.45,78,56,4.61,AU,2022-04-02 15:42:01
